"","Brum.HAP1.GTS","Brum.KBM7.GTS","Weis14.csa.avg","Sabb15.KBM7.cs","Sabb15.K562.cs","Sabb15.Jiyoye.cs","Sabb15.Raji.cs","Sabb17.EOL","Sabb17.HEL","Sabb17.MOLM13","Sabb17.MonoMac1","Sabb17.NB4.rep1","Sabb17.NB4.rep2","Sabb17.OCI.AML2","Sabb17.OCI.AML3","Sabb17.OCI.AML5","Sabb17.P31.FUJ","Sabb17.PL21","Sabb17.SKM1","Sabb17.TF1","Sabb17.THP1","CGC_Tier","TSgene","rank"
"2753",0.544164038,0.45971564,-0.029754718,-0.191,-0.332,0.155,0.21,0.231,0.017,0.164,-0.252,-0.02,-0.204,0.121,-0.256,-0.482,0.049,0.393,-0.044,-0.131,-0.224,0,0,2660
"2754",0.497652582,0.444444444,-0.0074223265,0.029,-0.34,-0.192,-0.342,-0.196,-0.025,-0.052,0.026,-0.069,0.182,0.006,-0.017,-0.088,-0.144,-0.74,-0.347,0.306,-0.435,0,0,18130
"2755",0.603174603,0.474820144,-0.048248739,0.013,-0.086,0.202,0.253,-0.33,-0.632,-0.019,0.529,0.147,-0.311,-0.002,-0.086,-0.171,-0.114,-0.073,0.068,-0.709,-0.005,0,0,14789
"2756",0.56511805,0.522673031,-0.027518274,-0.797,-0.885,-0.603,-0.442,-0.325,-0.296,0.181,0.083,-0.27,0.001,-0.097,-0.358,-0.145,-0.4,-0.685,-0.572,-0.338,-0.495,0,0,2797
"2757",0.499875715,0.4,-0.00440388,-0.243,-0.8,0.065,-0.109,0.072,-0.416,0.034,-0.452,-0.731,0.339,-0.149,0.243,-0.501,-0.088,-0.583,0.005,0.302,-0.018,0,0,14931
"2758",0.461538462,0.496274218,0.008128408,0.218,0.282,0.184,0.012,0.026,0.307,0.297,-0.076,0.595,0.144,0.424,0.154,0.412,0.333,0.165,-0.155,0.274,-0.348,0,0,12062
"2759",0.504283267,0.524096386,0.00950174,0.355,0.344,0.083,0.3,0.343,-0.238,0.142,0.083,0.165,0.058,0.109,0.245,0.246,0.203,-0.025,0.339,-0.146,-0.355,0,0,13641
"2760",0.333333333,1,-0.0074223265,-0.83,-1.893,-1.242,-0.475,-1.198,-1.205,-1.012,-0.62,-1.076,-1.954,-1.103,-0.827,-1.589,-1.108,-0.725,-0.928,-1.65,-1.497,0,0,14187
"2761",0.499036812,0.496274218,-0.00331019,-0.081,0.308,0.057,0.363,0.294,0.318,0.158,0.162,0.128,0.146,0.118,0,0.108,-0.016,-0.163,-0.187,0.13,-0.058,0,0,12596
"2762",0.635338346,0.623931624,0.010720978,0.037,0.32,0.289,0.295,-0.003,-0.461,0.309,-0.169,-0.236,-0.511,-0.051,0.045,-0.271,-0.065,0.13,0.109,0.139,-0.05,0,0,10744
