,Gene,TS_status,pred_prob
291,STRA8,0,0.184684342
749,MAFK,0,0.184161106
306,FEZF1,0,0.183876389
665,AKR1B1,0,0.183866543
290,FAM71F2,0,0.183749454
332,ARHGEF35,0,0.183571527
849,PLEKHA8,0,0.183223733
7,AZGP1,0,0.183136257
462,SLC4A2,0,0.182466419
667,THSD7A,0,0.182381893
813,LRRC61,0,0.182359746
582,AHCYL2,0,0.182267197
605,ZNF107,0,0.182224674
828,WDR86,0,0.182015054
148,TAS2R16,0,0.181899289
677,TRIP6,0,0.181893966
228,TMEM213,0,0.181842583
127,HECW1,0,0.181478338
205,NOBOX,0,0.181352546
194,CPA5,0,0.181214439
511,TMEM176B,0,0.181067378
778,HGF,0,0.181028457
592,STRIP2,0,0.18094408
256,FERD3L,0,0.180820626
762,ZFAND2A,0,0.180641254
79,PON1,0,0.180585225
329,OR2A2,0,0.180433867
49,GRM3,0,0.1803775
831,CCZ1,0,0.179891789
461,FSCN1,0,0.178825501
300,KCP,0,0.178764415
333,WEE2,0,0.178740114
816,BBS9,0,0.178718897
546,NOD1,0,0.178621286
845,PDK4,0,0.178214327
501,ZNF117,0,0.178183968
728,ADCK2,0,0.177698196
144,ERVW-1,0,0.177648731
234,GALNTL5,0,0.177463764
655,CARD11,0,0.177160389
383,ZYX,0,0.176985956
50,GRM8,0,0.176933881
505,GTF2I,0,0.176654034
863,ZNF853,0,0.176594417
526,ADAP1,0,0.176417048
73,PDGFA,0,0.176350104
82,PRSS1,0,0.176342278
165,STK31,0,0.176310469
757,ARMC10,0,0.176271974
137,SLC13A4,0,0.175654797
523,HERPUD2,0,0.175518887
215,LRGUK,0,0.175422603
317,OR2A7,0,0.175347006
606,ZNF800,0,0.174979456
812,SEMA3C,0,0.174913303
280,COL28A1,0,0.174851795
198,TSGA13,0,0.174784668
76,ABCB4,0,0.174663871
25,DDC,0,0.174589561
24,DGKB,0,0.174258483
747,VOPP1,0,0.174190132
31,SLC26A3,0,0.174080091
618,GALNT11,0,0.174059213
830,CCZ1B,0,0.173730847
819,CCDC146,0,0.173494363
164,BAIAP2L1,0,0.173488413
17,CPA1,0,0.17343639
404,CALU,0,0.173303656
817,DNAJC30,0,0.172395954
633,FASTK,0,0.172285205
184,KDM7A,0,0.172258613
278,TAS2R60,0,0.172239887
853,EPHA1,0,0.172041071
231,METTL27,0,0.172017657
114,TRIL,0,0.172006931
836,GIMAP8,0,0.171915878
85,TAS2R38,0,0.171762888
136,FBXO24,0,0.171749056
399,PDIA4,0,0.171741917
86,PTN,0,0.171566227
808,PSPH,0,0.171468033
611,ASNS,0,0.17122483
707,CYTH3,0,0.170982684
657,LMTK2,0,0.170781348
545,TSPAN33,0,0.170766934
52,HOXA1,0,0.170494361
316,RAB19,0,0.17040188
18,CPA2,0,0.170021051
126,POMZP3,0,0.169958893
102,SEM1,0,0.16953337
597,ZNHIT1,0,0.169267123
681,MOSPD3,0,0.169256267
738,ZNF138,0,0.16871309
4,ADCYAP1R1,0,0.168699538
533,CBLL1,0,0.16866071
223,BMT2,0,0.168354395
771,ZNF212,0,0.168301623
564,SP4,0,0.16828678
285,OR6V1,0,0.168086669
471,TFEC,0,0.167985976
855,LRRC4,0,0.167978075
226,IQUB,0,0.167846067
788,TYW1,0,0.167768252
743,GPR146,0,0.167244483
691,ZNF680,0,0.166988189
118,RAMP3,0,0.166852879
872,TYW1B,0,0.166760486
621,ABCF2,0,0.16669309
520,SRI,0,0.16642295
188,MINDY4,0,0.166299425
218,SSC4D,0,0.165700323
55,HOXA4,0,0.165258982
414,FGL2,0,0.16514249
823,CALD1,0,0.165136992
220,MUC17,0,0.1650233
480,CHPF2,0,0.163290379
647,ZNF3,0,0.163278335
423,AKAP9,0,0.163031494
671,TMEM140,0,0.162669968
851,TTC26,0,0.162102683
298,SLC26A5,0,0.161623756
869,FAM185A,0,0.161240001
673,MRPL32,0,0.161126582
187,GTF2IRD2,0,0.160878187
550,JAZF1,0,0.16087804
464,CAPZA2,0,0.159945586
35,EPO,0,0.159859675
609,NCF1,0,0.159830279
387,ARPC1B,0,0.159673131
820,AUTS2,0,0.159509051
190,ZNF479,0,0.158300558
417,TBXAS1,0,0.158287052
452,RHBDD2,0,0.158090094
6,AQP1,0,0.157845054
559,EPDR1,0,0.157588982
829,ZSCAN21,0,0.157552585
254,CDHR3,0,0.157467261
730,ZNF398,0,0.157460286
661,ZSCAN25,0,0.157434998
166,TRPV5,0,0.156791691
789,TSPAN13,0,0.156400599
857,INHBA,0,0.15612655
699,COA1,0,0.155909679
54,HOXA3,0,0.155430994
560,RBAK,0,0.155307181
224,CLEC2L,0,0.155195657
283,AGBL3,0,0.154764491
247,SDK1,0,0.154240222
455,PHTF2,0,0.153765373
648,NUDT1,0,0.153716417
97,VGF,0,0.153608658
115,MUC12,0,0.153525195
760,AASS,0,0.153398399
320,C7orf61,0,0.153256438
202,OR9A2,0,0.153034036
243,TEX47,0,0.152778258
625,ERV3-1,0,0.151812501
451,SAMD9L,0,0.151620153
307,FAM180A,0,0.151542177
838,UBE2D4,0,0.1514353
365,GIMAP1-GIMAP5,0,0.15094606
185,OR2AE1,0,0.150931832
345,ZNF735,0,0.150074333
146,TAS2R3,0,0.150028196
651,WDR60,0,0.149920822
2,ACHE,0,0.149754252
645,STYXL1,0,0.149363414
782,ABCA13,0,0.149300867
171,TBX20,0,0.149171869
62,IGFBP3,0,0.148911212
84,RELN,0,0.148112576
269,TAS2R39,0,0.147859258
200,TMEM270,0,0.147736569
240,BMPER,0,0.146929791
369,CYP3A7-CYP3A51P,0,0.146837875
140,NPC1L1,0,0.146687241
147,TAS2R4,0,0.146605782
670,ZNF862,0,0.146516478
804,C7orf31,0,0.146389628
14,CHRM2,0,0.145255561
802,ATP6V0E2,0,0.145127039
295,VWC2,0,0.145038789
342,UMAD1,0,0.145033652
878,NRCAM,0,0.144873026
397,PRKAR2B,0,0.144603647
130,COBL,0,0.143822302
133,SOSTDC1,0,0.143572866
583,ZDHHC4,0,0.14325706
875,CYP3A5,0,0.142583308
308,OR2A25,0,0.142544294
693,PARP12,0,0.142534299
367,RBAK-RBAKDN,0,0.142416166
313,OR2A5,0,0.142332122
153,ASB4,0,0.141547401
113,MAGI2,0,0.141522333
798,GIMAP1,0,0.141424683
119,CCL26,0,0.141405297
314,LRRD1,0,0.14105588
773,CNPY4,0,0.140623026
352,UPK3BL1,0,0.138564462
191,MYL10,0,0.138536405
68,NOS3,0,0.138339299
250,MTURN,0,0.137085826
141,MRM2,0,0.137078928
540,KLHDC10,0,0.135923035
522,PLOD3,0,0.135350181
123,INMT,0,0.135156662
318,OR2A42,0,0.133886843
573,LFNG,0,0.133151329
826,MGAM,0,0.131969557
310,AGMO,0,0.131406936
867,ZNF713,0,0.129728515
435,HILPDA,0,0.129685772
67,MUC3A,0,0.127265492
488,CPVL,0,0.126199627
214,MTPN,0,0.126121497
238,PKD1L1,0,0.124882053
